country,policy,count,timestamp
USA,quarantine,7301,2024-02-15
NGA,quarantine,1093,2024-02-15
UGA,none,647,2024-02-15
RUS,invalid,135,2024-02-15
PLW,invalid,3,2024-02-15
CCK,none,10735,2024-02-15
NGA,reject,821,2024-02-15
ESP,reject,14541,2024-02-15
TON,quarantine,329,2024-02-15
UKR,none,19769,2024-02-15
MOZ,quarantine,215,2024-02-15
URY,quarantine,1458,2024-02-15
LTU,quarantine,2115,2024-02-15
CHN,none,14412,2024-02-15
BOL,reject,364,2024-02-15
SPM,reject,171,2024-02-15
NIU,invalid,19,2024-02-15
ITA,none,699014,2024-02-15
GGY,quarantine,571,2024-02-15
KGZ,reject,135,2024-02-15
HUN,quarantine,7839,2024-02-15
EGY,reject,219,2024-02-15
CYM,quarantine,113,2024-02-15
DZA,quarantine,357,2024-02-15
CUB,quarantine,96,2024-02-15
HTI,reject,72,2024-02-15
ZMB,quarantine,99,2024-02-15
HTI,none,142,2024-02-15
NZL,quarantine,7862,2024-02-15
SVK,reject,6109,2024-02-15
MDA,none,3747,2024-02-15
SPM,none,405,2024-02-15
KAZ,none,5247,2024-02-15
SWE,quarantine,9992,2024-02-15
UZB,reject,951,2024-02-15
CXR,quarantine,256,2024-02-15
SLE,none,108,2024-02-15
CXR,none,537,2024-02-15
KAZ,quarantine,3338,2024-02-15
VNM,quarantine,2247,2024-02-15
MUS,reject,232,2024-02-15
MWI,quarantine,31,2024-02-15
LBY,invalid,2,2024-02-15
SLV,none,608,2024-02-15
IOT,invalid,108,2024-02-15
ISL,none,6922,2024-02-15
IRN,none,34017,2024-02-15
ETH,quarantine,50,2024-02-15
TKL,quarantine,16,2024-02-15
LCA,reject,76,2024-02-15
ETH,reject,40,2024-02-15
SVK,none,44970,2024-02-15
RWA,reject,103,2024-02-15
PAN,quarantine,183,2024-02-15
VCT,reject,319,2024-02-15
BHR,reject,145,2024-02-15
NOR,none,41476,2024-02-15
POL,quarantine,103042,2024-02-15
DZA,none,685,2024-02-15
LKA,reject,592,2024-02-15
DOM,reject,680,2024-02-15
PAN,none,733,2024-02-15
MTQ,none,22,2024-02-15
GBR,quarantine,61219,2024-02-15
POL,none,418441,2024-02-15
IDN,quarantine,12937,2024-02-15
REU,none,2471,2024-02-15
FRO,reject,292,2024-02-15
VNM,invalid,24,2024-02-15
VUT,quarantine,18,2024-02-15
USA,reject,12421,2024-02-15
GRD,quarantine,22,2024-02-15
SPM,quarantine,241,2024-02-15
MMR,reject,71,2024-02-15
IDN,none,32020,2024-02-15
KEN,quarantine,1579,2024-02-15
TCD,none,33,2024-02-15
STP,reject,283,2024-02-15
LIE,invalid,3,2024-02-15
MNE,none,32807,2024-02-15
GGY,none,1851,2024-02-15
BOL,quarantine,405,2024-02-15
EST,reject,2792,2024-02-15
ATF,quarantine,114,2024-02-15
PRT,invalid,254,2024-02-15
GAB,reject,131,2024-02-15
IOT,none,47525,2024-02-15
PLW,reject,770,2024-02-15
ISL,reject,1261,2024-02-15
SXM,none,90,2024-02-15
HKG,invalid,8,2024-02-15
ROU,quarantine,8501,2024-02-15
PER,none,10231,2024-02-15
ECU,reject,1030,2024-02-15
JEY,reject,173,2024-02-15
DEU,invalid,508,2024-02-15
CIV,none,1365,2024-02-15
EGY,quarantine,153,2024-02-15
AUT,reject,11328,2024-02-15
ESP,none,183421,2024-02-15
SWE,invalid,146,2024-02-15
RUS,quarantine,30318,2024-02-15
GRL,reject,287,2024-02-15
BDI,none,128,2024-02-15
SYC,none,205,2024-02-15
BDI,reject,64,2024-02-15
,none,192725,2024-02-15
PLW,quarantine,959,2024-02-15
MCO,none,296,2024-02-15
KEN,invalid,5,2024-02-15
SVN,reject,1704,2024-02-15
THA,reject,1208,2024-02-15
CPV,reject,45,2024-02-15
ROU,invalid,26,2024-02-15
UKR,invalid,35,2024-02-15
RWA,quarantine,188,2024-02-15
PRI,quarantine,39,2024-02-15
FSM,quarantine,191,2024-02-15
CHL,reject,4907,2024-02-15
MLT,reject,348,2024-02-15
ATF,reject,132,2024-02-15
TUR,reject,4335,2024-02-15
OMN,reject,251,2024-02-15
CHE,none,136040,2024-02-15
PRT,reject,6334,2024-02-15
REU,reject,487,2024-02-15
LIE,reject,1098,2024-02-15
BMU,none,219,2024-02-15
BRN,reject,36,2024-02-15
FJI,none,150,2024-02-15
GIB,reject,52,2024-02-15
GBR,reject,84110,2024-02-15
IND,none,169757,2024-02-15
SGP,none,13646,2024-02-15
MKD,none,2356,2024-02-15
COD,none,220,2024-02-15
TZA,quarantine,335,2024-02-15
GNQ,none,58,2024-02-15
EGY,none,523,2024-02-15
KWT,quarantine,159,2024-02-15
HMD,quarantine,11,2024-02-15
NOR,quarantine,63968,2024-02-15
IRN,reject,4584,2024-02-15
CUW,none,83,2024-02-15
IRQ,quarantine,50,2024-02-15
SUR,quarantine,66,2024-02-15
CHE,quarantine,61455,2024-02-15
SAU,reject,1017,2024-02-15
SRB,quarantine,1309,2024-02-15
MUS,none,723,2024-02-15
CHN,reject,5253,2024-02-15
CMR,none,584,2024-02-15
BHR,none,197,2024-02-15
GTM,reject,115,2024-02-15
YEM,quarantine,5,2024-02-15
AUT,none,137645,2024-02-15
BWA,none,540,2024-02-15
VGB,none,105,2024-02-15
DNK,none,41775,2024-02-15
MKD,quarantine,534,2024-02-15
SYR,none,235,2024-02-15
JOR,reject,108,2024-02-15
GEO,none,2359,2024-02-15
DNK,quarantine,13153,2024-02-15
NPL,invalid,3,2024-02-15
SLV,reject,236,2024-02-15
MUS,quarantine,230,2024-02-15
ITA,invalid,185,2024-02-15
GUY,none,145,2024-02-15
CYP,quarantine,511,2024-02-15
MOZ,none,1001,2024-02-15
LKA,quarantine,759,2024-02-15
DMA,none,24,2024-02-15
ESP,invalid,87,2024-02-15
VIR,none,17,2024-02-15
MEX,quarantine,7697,2024-02-15
MAR,quarantine,1015,2024-02-15
SAU,none,3841,2024-02-15
GIB,quarantine,38,2024-02-15
VEN,quarantine,367,2024-02-15
MDV,reject,70,2024-02-15
NLD,none,947668,2024-02-15
DEU,reject,117152,2024-02-15
MNG,reject,416,2024-02-15
HRV,quarantine,1781,2024-02-15
MCO,quarantine,68,2024-02-15
SGP,quarantine,3602,2024-02-15
CAF,reject,170,2024-02-15
GRD,none,111,2024-02-15
MEX,invalid,54,2024-02-15
AUT,invalid,50,2024-02-15
TLS,quarantine,29,2024-02-15
AUT,quarantine,12000,2024-02-15
FRA,none,270343,2024-02-15
PAK,reject,1093,2024-02-15
CMR,quarantine,233,2024-02-15
RUS,reject,31556,2024-02-15
OMN,none,312,2024-02-15
QAT,none,977,2024-02-15
UZB,quarantine,1011,2024-02-15
PAK,none,8389,2024-02-15
MNE,reject,8690,2024-02-15
VEN,none,1573,2024-02-15
GUY,reject,82,2024-02-15
LBY,reject,202,2024-02-15
MRT,quarantine,22,2024-02-15
MYS,invalid,12,2024-02-15
CMR,reject,241,2024-02-15
SWZ,quarantine,68,2024-02-15
LVA,reject,3081,2024-02-15
DMA,quarantine,7,2024-02-15
SHN,invalid,5,2024-02-15
COL,quarantine,16321,2024-02-15
MNG,none,893,2024-02-15
LIE,none,2622,2024-02-15
GRD,reject,40,2024-02-15
NIU,reject,4731,2024-02-15
EST,quarantine,5742,2024-02-15
KWT,none,220,2024-02-15
CUB,reject,83,2024-02-15
TTO,none,137,2024-02-15
TJK,quarantine,45,2024-02-15
MYS,reject,3678,2024-02-15
CCK,quarantine,3331,2024-02-15
TON,reject,539,2024-02-15
SVK,quarantine,4744,2024-02-15
BLR,quarantine,1245,2024-02-15
NPL,reject,804,2024-02-15
SVN,quarantine,1969,2024-02-15
VUT,none,122,2024-02-15
FIN,none,32398,2024-02-15
HKG,quarantine,1583,2024-02-15
PRI,reject,139,2024-02-15
HRV,reject,1732,2024-02-15
MCO,reject,57,2024-02-15
JPN,quarantine,15920,2024-02-15
CYP,none,1824,2024-02-15
KGZ,quarantine,346,2024-02-15
IRQ,none,199,2024-02-15
LUX,none,5476,2024-02-15
IRL,reject,3179,2024-02-15
CHN,invalid,117,2024-02-15
VCT,quarantine,285,2024-02-15
GUY,quarantine,142,2024-02-15
IND,quarantine,19776,2024-02-15
SHN,reject,646,2024-02-15
QAT,reject,352,2024-02-15
PRY,reject,498,2024-02-15
SGS,none,161,2024-02-15
LCA,none,151,2024-02-15
HUN,invalid,48,2024-02-15
REU,quarantine,1699,2024-02-15
KOR,invalid,35,2024-02-15
SXM,reject,84,2024-02-15
BLR,none,4680,2024-02-15
CRI,none,1421,2024-02-15
KAZ,reject,1136,2024-02-15
DNK,invalid,158,2024-02-15
MWI,reject,65,2024-02-15
VUT,reject,42,2024-02-15
TTO,reject,85,2024-02-15
VGB,reject,65,2024-02-15
FRO,quarantine,123,2024-02-15
COG,quarantine,116,2024-02-15
HND,reject,225,2024-02-15
HRV,none,32491,2024-02-15
