country,internal_reporting,count,timestamp
BRA,True,104766,2024-02-15
THA,False,1630,2024-02-15
NIU,,18299,2024-02-15
CCK,,14855,2024-02-15
ZAF,False,27814,2024-02-15
SLB,True,95,2024-02-15
HTI,,147,2024-02-15
PSE,,614,2024-02-15
IRN,True,18057,2024-02-15
NOR,True,65620,2024-02-15
CZE,True,24336,2024-02-15
CZE,False,15583,2024-02-15
SWE,True,14551,2024-02-15
GRL,False,190,2024-02-15
POL,,689756,2024-02-15
LVA,,9239,2024-02-15
WSM,True,584,2024-02-15
ZMB,,370,2024-02-15
JAM,,104,2024-02-15
SVK,False,7811,2024-02-15
PRY,False,812,2024-02-15
BRA,,560247,2024-02-15
SPM,,694,2024-02-15
NLD,False,95087,2024-02-15
SVN,False,2663,2024-02-15
LAO,True,411,2024-02-15
BDI,False,71,2024-02-15
MOZ,,1079,2024-02-15
BMU,False,234,2024-02-15
CUB,,123,2024-02-15
JOR,,345,2024-02-15
RUS,False,12904,2024-02-15
RWA,True,307,2024-02-15
MNE,False,13192,2024-02-15
TUR,False,7325,2024-02-15
LSO,True,44,2024-02-15
SEN,False,149,2024-02-15
CCK,False,5555,2024-02-15
WLF,True,36,2024-02-15
FRA,,372598,2024-02-15
SOM,,846,2024-02-15
NPL,True,1146,2024-02-15
TCA,,225,2024-02-15
ECU,False,1572,2024-02-15
MDG,True,177,2024-02-15
COD,,302,2024-02-15
BRN,,87,2024-02-15
FSM,,1157,2024-02-15
SLB,False,61,2024-02-15
URY,,6070,2024-02-15
BOL,,1205,2024-02-15
IND,False,22184,2024-02-15
HKG,True,5520,2024-02-15
LIE,False,1018,2024-02-15
EST,True,2842,2024-02-15
UZB,False,329,2024-02-15
SHN,False,779,2024-02-15
VAT,True,56,2024-02-15
HND,True,179,2024-02-15
SXM,True,42,2024-02-15
LBY,,1143,2024-02-15
VAT,,56,2024-02-15
GIB,,261,2024-02-15
ISL,False,2043,2024-02-15
CXR,False,377,2024-02-15
CPV,False,36,2024-02-15
ITA,True,43394,2024-02-15
CHN,False,17834,2024-02-15
IDN,True,11271,2024-02-15
LSO,False,90,2024-02-15
MOZ,False,250,2024-02-15
JPN,True,30412,2024-02-15
IRN,False,6562,2024-02-15
ETH,True,49,2024-02-15
GRD,False,68,2024-02-15
VEN,False,689,2024-02-15
NFK,False,30,2024-02-15
COG,True,18,2024-02-15
ETH,,1566,2024-02-15
GEO,False,725,2024-02-15
KWT,False,201,2024-02-15
TJK,False,82,2024-02-15
REU,True,497,2024-02-15
GNQ,,238,2024-02-15
LKA,True,1176,2024-02-15
ITA,,709771,2024-02-15
UKR,,25124,2024-02-15
MCO,False,114,2024-02-15
BMU,True,86,2024-02-15
SMR,True,37,2024-02-15
GHA,,346,2024-02-15
CMR,,864,2024-02-15
NOR,False,16428,2024-02-15
NER,,71,2024-02-15
TZA,True,1260,2024-02-15
BLZ,False,439,2024-02-15
JAM,True,39,2024-02-15
IOT,,63359,2024-02-15
GTM,,423,2024-02-15
SEN,,811,2024-02-15
HUN,False,7012,2024-02-15
SGP,True,3870,2024-02-15
MLI,True,83,2024-02-15
KNA,False,21,2024-02-15
GTM,True,88,2024-02-15
GUF,,29,2024-02-15
KWT,True,109,2024-02-15
LCA,,207,2024-02-15
GUY,,209,2024-02-15
IOT,True,20019,2024-02-15
MUS,True,255,2024-02-15
TKL,True,25,2024-02-15
HRV,,33562,2024-02-15
VCT,,1528,2024-02-15
WLF,,177,2024-02-15
ZAF,True,21725,2024-02-15
SPM,False,217,2024-02-15
SHN,,2009,2024-02-15
SLV,False,392,2024-02-15
MNG,False,198,2024-02-15
GUY,False,94,2024-02-15
QAT,,1074,2024-02-15
PCN,,24,2024-02-15
KAZ,False,786,2024-02-15
BHS,,56,2024-02-15
MAR,False,1139,2024-02-15
FRO,True,77,2024-02-15
GBR,,470309,2024-02-15
MEX,False,13825,2024-02-15
TZA,False,569,2024-02-15
BOL,True,450,2024-02-15
TLS,True,92,2024-02-15
MAC,True,150,2024-02-15
IOT,False,25719,2024-02-15
SOM,True,345,2024-02-15
PRY,,5611,2024-02-15
GMB,,149,2024-02-15
,,288485,2024-02-15
TTO,False,127,2024-02-15
GHA,True,99,2024-02-15
,True,58535,2024-02-15
ATF,False,110,2024-02-15
KAZ,True,1678,2024-02-15
UGA,False,285,2024-02-15
TON,,1856,2024-02-15
FRO,,820,2024-02-15
GEO,True,1198,2024-02-15
URY,True,2119,2024-02-15
BWA,True,211,2024-02-15
LUX,True,1884,2024-02-15
NIU,True,1158,2024-02-15
MDG,False,260,2024-02-15
CRI,,1709,2024-02-15
JOR,False,294,2024-02-15
TJK,,232,2024-02-15
BMU,,309,2024-02-15
LKA,False,963,2024-02-15
MYT,False,80,2024-02-15
MMR,True,207,2024-02-15
SYC,True,116,2024-02-15
SMR,False,61,2024-02-15
MDA,False,536,2024-02-15
SUR,True,40,2024-02-15
GBR,False,135016,2024-02-15
LVA,True,2945,2024-02-15
MLI,False,180,2024-02-15
TON,True,408,2024-02-15
DZA,False,170,2024-02-15
NPL,,3700,2024-02-15
CRI,True,618,2024-02-15
BRN,True,104,2024-02-15
UGA,,715,2024-02-15
VUT,,142,2024-02-15
GNQ,False,17,2024-02-15
MLI,,525,2024-02-15
FLK,,22,2024-02-15
FSM,False,465,2024-02-15
JAM,False,105,2024-02-15
MLT,,1543,2024-02-15
MEX,,60658,2024-02-15
TKL,,126,2024-02-15
UKR,True,7820,2024-02-15
GRC,False,7161,2024-02-15
LBN,True,88,2024-02-15
MCO,True,82,2024-02-15
PNG,,288,2024-02-15
DMA,,26,2024-02-15
BEN,False,26,2024-02-15
CHE,True,20187,2024-02-15
YEM,,41,2024-02-15
IDN,False,6865,2024-02-15
LVA,False,2805,2024-02-15
MRT,False,11,2024-02-15
MNG,,1462,2024-02-15
BLR,,6934,2024-02-15
DEU,True,118991,2024-02-15
CXR,True,255,2024-02-15
SVK,,46192,2024-02-15
SYC,,220,2024-02-15
LTU,True,2846,2024-02-15
NIC,True,238,2024-02-15
STP,,820,2024-02-15
KOR,False,2876,2024-02-15
COG,,231,2024-02-15
CYM,True,188,2024-02-15
FSM,True,224,2024-02-15
HUN,,115766,2024-02-15
REU,,4260,2024-02-15
TKM,,84,2024-02-15
SVN,True,4165,2024-02-15
NZL,,43207,2024-02-15
TCA,True,71,2024-02-15
USA,True,10077,2024-02-15
THA,,10942,2024-02-15
DJI,,140,2024-02-15
DNK,True,15097,2024-02-15
GGY,True,518,2024-02-15
CYP,False,608,2024-02-15
NOR,,106966,2024-02-15
IRQ,,262,2024-02-15
MOZ,True,379,2024-02-15
VEN,,1826,2024-02-15
FIN,False,11148,2024-02-15
CHL,False,8282,2024-02-15
SAU,True,2756,2024-02-15
GTM,False,179,2024-02-15
GAB,False,146,2024-02-15
PCN,False,21,2024-02-15
TUV,,11923,2024-02-15
SOM,False,251,2024-02-15
SYR,True,74,2024-02-15
TLS,,96,2024-02-15
GNB,,69,2024-02-15
EGY,False,303,2024-02-15
FIN,,40308,2024-02-15
SAU,,4366,2024-02-15
BWA,,595,2024-02-15
GRC,True,11409,2024-02-15
MLT,False,677,2024-02-15
CUW,,98,2024-02-15
FIN,True,8537,2024-02-15
HUN,True,19881,2024-02-15
CAF,True,29,2024-02-15
CAN,True,31734,2024-02-15
LAO,False,540,2024-02-15
RWA,False,121,2024-02-15
