country,internal_reporting,count,timestamp
BRA,True,180,2024-02-15
THA,False,30,2024-02-15
SLB,True,61,2024-02-15
ZAF,False,98,2024-02-15
HTI,,8,2024-02-15
PSE,,21,2024-02-15
NOR,True,145,2024-02-15
IRN,True,21,2024-02-15
POL,,206,2024-02-15
LVA,,16,2024-02-15
WSM,True,13,2024-02-15
JAM,,20,2024-02-15
ZMB,,5,2024-02-15
PRY,False,14,2024-02-15
BRA,,332,2024-02-15
LAO,True,16,2024-02-15
MOZ,,91,2024-02-15
JOR,,2,2024-02-15
RWA,True,107,2024-02-15
TUR,False,13,2024-02-15
SOM,,2,2024-02-15
NPL,True,405,2024-02-15
ECU,False,33,2024-02-15
MDG,True,34,2024-02-15
BRN,,1,2024-02-15
SLB,False,2,2024-02-15
URY,,46,2024-02-15
BOL,,46,2024-02-15
HKG,True,181,2024-02-15
IND,False,26,2024-02-15
SHN,False,3,2024-02-15
HND,True,18,2024-02-15
GIB,,17,2024-02-15
LBY,,6,2024-02-15
IDN,True,351,2024-02-15
CHN,False,68,2024-02-15
ITA,True,16,2024-02-15
MOZ,False,4,2024-02-15
JPN,True,89,2024-02-15
ETH,True,20,2024-02-15
IRN,False,5,2024-02-15
VEN,False,17,2024-02-15
NRU,True,2,2024-02-15
ETH,,336,2024-02-15
KWT,False,10,2024-02-15
GEO,False,3,2024-02-15
LKA,True,39,2024-02-15
UKR,,921,2024-02-15
ITA,,48,2024-02-15
BMU,True,1,2024-02-15
CMR,,22,2024-02-15
GHA,,10,2024-02-15
NOR,False,363,2024-02-15
TZA,True,667,2024-02-15
JAM,True,19,2024-02-15
SEN,,1,2024-02-15
SGP,True,207,2024-02-15
MLI,True,4,2024-02-15
KWT,True,24,2024-02-15
GUY,,14,2024-02-15
COM,,2,2024-02-15
LCA,,2,2024-02-15
BHS,True,2,2024-02-15
ZAF,True,37,2024-02-15
SHN,,3,2024-02-15
GUY,False,5,2024-02-15
MNG,False,2,2024-02-15
SLV,False,2,2024-02-15
PCN,,2,2024-02-15
QAT,,20,2024-02-15
BHS,,2,2024-02-15
MAR,False,5,2024-02-15
GBR,,1556,2024-02-15
BOL,True,90,2024-02-15
MEX,False,122,2024-02-15
TLS,True,64,2024-02-15
MAC,True,9,2024-02-15
TZA,False,2,2024-02-15
SOM,True,2,2024-02-15
PRY,,81,2024-02-15
GHA,True,17,2024-02-15
TTO,False,3,2024-02-15
UGA,False,10,2024-02-15
KAZ,True,5,2024-02-15
TON,,4,2024-02-15
GEO,True,60,2024-02-15
URY,True,72,2024-02-15
MDG,False,4,2024-02-15
CRI,,69,2024-02-15
JOR,False,9,2024-02-15
SYC,True,33,2024-02-15
MMR,True,78,2024-02-15
LKA,False,8,2024-02-15
GBR,False,395,2024-02-15
TON,True,23,2024-02-15
LVA,True,111,2024-02-15
DZA,False,2,2024-02-15
NPL,,3,2024-02-15
CRI,True,47,2024-02-15
BRN,True,59,2024-02-15
UGA,,25,2024-02-15
MLI,,5,2024-02-15
JAM,False,31,2024-02-15
KNA,,1,2024-02-15
MEX,,605,2024-02-15
UKR,True,204,2024-02-15
LBN,True,15,2024-02-15
GRC,False,9,2024-02-15
PNG,,61,2024-02-15
DMA,,2,2024-02-15
YEM,,7,2024-02-15
IDN,False,74,2024-02-15
LVA,False,1,2024-02-15
MNG,,249,2024-02-15
BLR,,117,2024-02-15
SYC,,1,2024-02-15
NIC,True,41,2024-02-15
