country,policy,count,timestamp
NGA,quarantine,27,2024-02-15
UGA,none,29,2024-02-15
NGA,reject,17,2024-02-15
UKR,none,815,2024-02-15
CHN,none,91,2024-02-15
ITA,none,33,2024-02-15
DZA,quarantine,8,2024-02-15
NZL,quarantine,47,2024-02-15
SWE,quarantine,77,2024-02-15
SLE,none,42,2024-02-15
KAZ,none,18,2024-02-15
ISL,none,22,2024-02-15
PAN,quarantine,8,2024-02-15
NOR,none,148,2024-02-15
POL,quarantine,92,2024-02-15
DOM,reject,67,2024-02-15
GBR,quarantine,430,2024-02-15
IDN,quarantine,170,2024-02-15
POL,none,159,2024-02-15
IDN,none,355,2024-02-15
KEN,quarantine,191,2024-02-15
BOL,quarantine,38,2024-02-15
ECU,reject,97,2024-02-15
PER,none,218,2024-02-15
EGY,quarantine,30,2024-02-15
ESP,none,14,2024-02-15
THA,reject,56,2024-02-15
RWA,quarantine,87,2024-02-15
TUR,reject,43,2024-02-15
CHE,none,254,2024-02-15
PRT,reject,37,2024-02-15
FJI,none,5,2024-02-15
BRN,reject,2,2024-02-15
GBR,reject,900,2024-02-15
IND,none,136,2024-02-15
EGY,none,25,2024-02-15
NOR,quarantine,100,2024-02-15
IRN,reject,16,2024-02-15
CHE,quarantine,156,2024-02-15
SAU,reject,146,2024-02-15
BHR,none,7,2024-02-15
CHN,reject,1,2024-02-15
AUT,none,104,2024-02-15
GEO,none,76,2024-02-15
SLV,reject,23,2024-02-15
DNK,quarantine,28,2024-02-15
MOZ,none,85,2024-02-15
LKA,quarantine,6,2024-02-15
SAU,none,106,2024-02-15
MEX,quarantine,140,2024-02-15
MAR,quarantine,10,2024-02-15
VEN,quarantine,53,2024-02-15
MDV,reject,5,2024-02-15
MNG,reject,244,2024-02-15
NLD,none,56,2024-02-15
AUT,quarantine,19,2024-02-15
QAT,none,14,2024-02-15
VEN,none,58,2024-02-15
DMA,quarantine,1,2024-02-15
LVA,reject,94,2024-02-15
TTO,none,19,2024-02-15
MYS,reject,26,2024-02-15
BLR,quarantine,3,2024-02-15
HKG,quarantine,168,2024-02-15
FIN,none,129,2024-02-15
IRQ,none,34,2024-02-15
KGZ,quarantine,10,2024-02-15
JPN,quarantine,26,2024-02-15
GUY,quarantine,90,2024-02-15
LUX,none,32,2024-02-15
IND,quarantine,426,2024-02-15
PRY,reject,18,2024-02-15
CRI,none,51,2024-02-15
UKR,reject,81,2024-02-15
SSD,none,4,2024-02-15
PER,reject,49,2024-02-15
WSM,quarantine,10,2024-02-15
COK,none,7,2024-02-15
GBR,none,813,2024-02-15
BHR,quarantine,5,2024-02-15
TWN,reject,18,2024-02-15
BRA,none,246,2024-02-15
ECU,quarantine,105,2024-02-15
BRN,quarantine,59,2024-02-15
DOM,quarantine,42,2024-02-15
ISR,none,89,2024-02-15
ISR,reject,2,2024-02-15
TLS,none,57,2024-02-15
PRT,none,125,2024-02-15
GIN,none,98,2024-02-15
SOM,none,3,2024-02-15
UKR,quarantine,105,2024-02-15
SLB,none,34,2024-02-15
HKG,none,8,2024-02-15
BLZ,quarantine,49,2024-02-15
JOR,none,10,2024-02-15
NZL,none,271,2024-02-15
THA,none,692,2024-02-15
DNK,reject,83,2024-02-15
MMR,quarantine,57,2024-02-15
VNM,none,45,2024-02-15
NGA,none,68,2024-02-15
JPN,none,119,2024-02-15
LVA,none,19,2024-02-15
SRB,none,10,2024-02-15
URY,reject,39,2024-02-15
PHL,none,181,2024-02-15
PER,quarantine,79,2024-02-15
MNE,quarantine,63,2024-02-15
MLI,quarantine,5,2024-02-15
VEN,reject,45,2024-02-15
PHL,quarantine,55,2024-02-15
LKA,none,17,2024-02-15
CHL,none,49,2024-02-15
SWE,reject,100,2024-02-15
HND,quarantine,10,2024-02-15
MOZ,reject,5,2024-02-15
MKD,reject,5,2024-02-15
LAO,reject,7,2024-02-15
TWN,none,44,2024-02-15
NZL,reject,106,2024-02-15
MDV,quarantine,22,2024-02-15
PNG,none,48,2024-02-15
KHM,quarantine,9,2024-02-15
PRT,quarantine,57,2024-02-15
NLD,quarantine,132,2024-02-15
PHL,reject,21,2024-02-15
GIN,quarantine,11,2024-02-15
BRA,reject,33,2024-02-15
FJI,quarantine,45,2024-02-15
TUR,quarantine,569,2024-02-15
BRA,quarantine,153,2024-02-15
LBN,none,15,2024-02-15
MDV,none,117,2024-02-15
PRY,none,120,2024-02-15
MYS,quarantine,232,2024-02-15
ZAF,reject,31,2024-02-15
URY,none,32,2024-02-15
NPL,quarantine,398,2024-02-15
GRC,none,49,2024-02-15
NLD,reject,168,2024-02-15
MYS,none,125,2024-02-15
KWT,reject,10,2024-02-15
SAU,quarantine,47,2024-02-15
PNG,quarantine,32,2024-02-15
ZAF,none,65,2024-02-15
BLR,reject,114,2024-02-15
IDN,reject,160,2024-02-15
NIC,quarantine,30,2024-02-15
SGP,reject,250,2024-02-15
JOR,quarantine,229,2024-02-15
KHM,none,37,2024-02-15
MAR,reject,8,2024-02-15
GRC,quarantine,8,2024-02-15
FIN,reject,12,2024-02-15
THA,quarantine,1507,2024-02-15
MMR,none,11,2024-02-15
UGA,quarantine,132,2024-02-15
JPN,reject,3,2024-02-15
MWI,none,52,2024-02-15
JAM,reject,13,2024-02-15
HKG,reject,276,2024-02-15
JAM,none,24,2024-02-15
PSE,quarantine,19,2024-02-15
PAK,quarantine,24,2024-02-15
SDN,quarantine,10,2024-02-15
CRI,reject,33,2024-02-15
PAN,reject,7,2024-02-15
ECU,none,178,2024-02-15
POL,reject,124,2024-02-15
MEX,none,552,2024-02-15
TUR,none,291,2024-02-15
BHS,none,3,2024-02-15
LAO,quarantine,5,2024-02-15
NOR,reject,211,2024-02-15
SWE,none,184,2024-02-15
MEX,reject,86,2024-02-15
KEN,none,38,2024-02-15
IRL,none,9,2024-02-15
ETH,none,328,2024-02-15
SLV,quarantine,75,2024-02-15
MAR,none,45,2024-02-15
MDG,reject,32,2024-02-15
IND,reject,1867,2024-02-15
TZA,none,663,2024-02-15
GHA,quarantine,15,2024-02-15
DOM,none,161,2024-02-15
GRC,reject,6,2024-02-15
KOR,none,45,2024-02-15
URY,quarantine,25,2024-02-15
BOL,reject,59,2024-02-15
HTI,none,10,2024-02-15
SLV,none,19,2024-02-15
ETH,quarantine,13,2024-02-15
IRN,none,6,2024-02-15
DZA,none,5,2024-02-15
TKM,reject,5,2024-02-15
CHL,reject,19,2024-02-15
OMN,reject,48,2024-02-15
SGP,none,14,2024-02-15
TZA,quarantine,4,2024-02-15
MKD,none,43,2024-02-15
CMR,none,22,2024-02-15
PAK,reject,17,2024-02-15
